,Name,Tweets Ago,Tweet,Compound,Positive,Negative,Neutral,Date
429,The New York Times,30,"Sarah Ward and Jonathan Rupp married on a farm in Georgia. One of her horses, Bling Bling, was their ringbearer. https://t.co/VUfCVuAEFF",0.0,0.0,0.0,1.0,Sat Dec 02 23:36:09 +0000 2017
430,The New York Times,31,"ABC News has suspended Brian Ross for 4 weeks over ""a serious error"" in a report about Trump and Michael Flynn https://t.co/5x1CwYwx5U",-0.7269,0.0,0.295,0.705,Sat Dec 02 23:26:05 +0000 2017
431,The New York Times,32,"Before the draw for the 2018 World Cup, Russia's deputy prime minister fended off questions about doping https://t.co/cohnqCfoRr",0.0,0.0,0.0,1.0,Sat Dec 02 23:16:04 +0000 2017
432,The New York Times,33,We scoured the internet for political writing from the right and left on reactions to Michael Flynn’s guilty plea https://t.co/4fGnleO05z,-0.4215,0.0,0.128,0.872,Sat Dec 02 23:06:06 +0000 2017
433,The New York Times,34,RT @nytmike: Emails we obtained from inside the Trump transition team show just how much Trump’s aides were concerned about sanctions on De…,0.0,0.0,0.0,1.0,Sat Dec 02 22:56:03 +0000 2017
434,The New York Times,35,The College Football Playoff picture is taking shape with 4 conference championship games. Live updates: https://t.co/bK1HGUieUH,0.4404,0.172,0.0,0.828,Sat Dec 02 22:46:01 +0000 2017
435,The New York Times,36,"Despite differences, the House and Senate versions of the Republican tax bill share many core elements https://t.co/rtCJzLTjQl",0.296,0.121,0.0,0.879,Sat Dec 02 22:36:01 +0000 2017
436,The New York Times,37,Our 25 most popular recipes of 2017 https://t.co/h4upEQNgMC https://t.co/RZoVYOCUIo,0.4754,0.279,0.0,0.721,Sat Dec 02 22:26:05 +0000 2017
437,The New York Times,38,"Fed-up straphangers are embracing the East River Ferry, and real-estate developers are taking notice https://t.co/PhZMQc83S6",0.0,0.0,0.0,1.0,Sat Dec 02 22:16:02 +0000 2017
438,The New York Times,39,"Even in a whirlwind presidency, it has been a dizzying span of hours for the Trump administration https://t.co/YRpHM57bPE",0.0,0.0,0.0,1.0,Sat Dec 02 22:06:06 +0000 2017
439,The New York Times,40,Senator Bob Corker of Tennessee was the only Republican to vote no to the GOP tax bill. See how each senator voted. https://t.co/N5C1aa1XOP,-0.296,0.0,0.091,0.909,Sat Dec 02 21:56:02 +0000 2017
440,The New York Times,41,"For the first time in the U.S., a woman who had a uterus transplant has given birth https://t.co/ayAsK0gv1S",0.0,0.0,0.0,1.0,Sat Dec 02 21:46:03 +0000 2017
441,The New York Times,42,"Claims of sexual misconduct grip Spelman and Morehouse, 2 historically black schools linked by history and geography https://t.co/477zhci04t",0.0,0.0,0.0,1.0,Sat Dec 02 21:36:01 +0000 2017
442,The New York Times,43,Here are excerpts from Michael Flynn's court documents and what they mean https://t.co/3l6nKp0jdx,0.0,0.0,0.0,1.0,Sat Dec 02 21:26:06 +0000 2017
443,The New York Times,44,Emails from Trump officials dispute the White House's claim that Michael Flynn went rogue with his Russia contacts https://t.co/spUYfpdV2O,-0.4019,0.0,0.13,0.87,Sat Dec 02 21:15:09 +0000 2017
444,The New York Times,45,Opinion: The racial biases associated with AI terrifies this mother of 2 young children https://t.co/ZqNyplyLqu,-0.5574,0.0,0.217,0.783,Sat Dec 02 20:59:06 +0000 2017
445,The New York Times,46,The first test of Prince Harry and Meghan Markle's fairy-tale romance? A British citizenship exam. Could you ace it? https://t.co/KRkAfS1TN0,0.6072,0.18,0.0,0.82,Sat Dec 02 20:41:04 +0000 2017
